Source,Target,Type,Id,Label,timeset,Weight
826285,2066204,Undirected,143,,,2
826285,2584344,Undirected,144,,,2
826285,2704995,Undirected,145,,,2
826285,2841269,Undirected,146,,,2
826285,2945452,Undirected,147,,,2
826285,2953646,Undirected,148,,,2
826285,3768701,Undirected,149,,,1
826285,4128073,Undirected,150,,,2
826285,4172255,Undirected,151,,,2
826285,4722827,Undirected,152,,,2
826285,5477798,Undirected,153,,,2
826285,5881506,Undirected,154,,,2
826285,6048636,Undirected,155,,,2
826285,6051073,Undirected,156,,,2
826285,6101480,Undirected,157,,,2
826285,6248010,Undirected,158,,,2
826285,6511037,Undirected,159,,,2
826285,7109789,Undirected,160,,,2
826285,7424702,Undirected,161,,,2
826285,7429309,Undirected,162,,,2
826285,7970920,Undirected,163,,,2
826285,8444486,Undirected,164,,,2
826285,8558807,Undirected,165,,,2
826285,9429899,Undirected,167,,,1
826285,9472148,Undirected,168,,,2
826285,10662748,Undirected,170,,,1
826285,11027885,Undirected,171,,,2
826285,11337133,Undirected,172,,,2
826285,11338980,Undirected,173,,,2
826285,11546791,Undirected,174,,,2
826285,12014421,Undirected,175,,,2
826285,12018504,Undirected,176,,,2
826285,12245321,Undirected,177,,,2
826285,12374632,Undirected,178,,,2
826285,13163358,Undirected,179,,,2
826285,13329095,Undirected,180,,,2
826285,13607329,Undirected,181,,,1
826285,13628232,Undirected,182,,,2
826285,13675701,Undirected,183,,,2
826285,13914875,Undirected,184,,,2
826285,14532617,Undirected,186,,,2
826285,16644079,Undirected,187,,,2
826285,16807958,Undirected,188,,,2
826285,17890829,Undirected,189,,,2
826285,19136808,Undirected,190,,,2
826285,19317051,Undirected,191,,,2
826285,19466859,Undirected,192,,,2
826285,19745720,Undirected,193,,,2
826285,20811923,Undirected,194,,,2
826285,22789877,Undirected,195,,,2
826285,23287031,Undirected,196,,,2
826285,23309704,Undirected,197,,,2
826285,23557449,Undirected,198,,,2
826285,23935056,Undirected,199,,,2
826285,25124104,Undirected,200,,,2
826285,25706119,Undirected,201,,,2
826285,25811158,Undirected,202,,,2
826285,28383952,Undirected,203,,,2
826285,31136124,Undirected,204,,,2
826285,31239705,Undirected,205,,,2
826285,32800894,Undirected,206,,,2
826285,33394936,Undirected,207,,,2
826285,34189253,Undirected,208,,,2
826285,36281158,Undirected,209,,,2
826285,36308001,Undirected,210,,,2
826285,39269753,Undirected,211,,,2
826285,42210012,Undirected,212,,,2
826285,44514142,Undirected,213,,,2
826285,48038134,Undirected,214,,,2
826285,48850658,Undirected,215,,,2
826285,49032796,Undirected,216,,,2
826285,49646600,Undirected,217,,,2
826285,53852245,Undirected,218,,,2
826285,54868369,Undirected,219,,,2
